consulta,escenario,ejecuciones,p50_ms,p95_ms,p99_ms,volumen_total_filas,seed
Q1,frio,200,0.121792,0.164394,0.215202,4965000,42
Q2,frio,200,0.164750,0.187625,0.254886,4965000,42
Q3,frio,200,0.455708,0.543502,0.724852,4965000,42
Q4,frio,200,0.495792,0.843081,0.956239,4965000,42
Q5,frio,200,0.150271,0.168983,0.183545,4965000,42
Q1,caliente,200,0.125896,0.148862,0.169289,4965000,42
Q2,caliente,200,0.160083,0.177396,0.196247,4965000,42
Q3,caliente,200,0.444292,0.524050,0.599358,4965000,42
Q4,caliente,200,2.125500,7.149245,10.186135,4965000,42
Q5,caliente,200,0.306271,0.597599,0.711744,4965000,42
