consulta,escenario,ejecucion,tiempo_ms,parametros
Q1,frio,1,0.749292,"(14878, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,2,0.215167,"(14856, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,3,0.164125,"(14920, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,4,0.159084,"(14912, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,5,0.178500,"(14907, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,6,0.152459,"(14885, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,7,0.151625,"(14876, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,8,0.176166,"(14989, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,9,0.190000,"(14872, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,10,0.180917,"(14958, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,11,0.142375,"(14858, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,12,0.143167,"(14857, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,13,0.162042,"(14873, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,14,0.170667,"(14905, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,15,0.218625,"(14909, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,16,0.197000,"(14979, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,17,0.131625,"(14856, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,18,0.136167,"(14993, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,19,0.151208,"(14900, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,20,0.147291,"(14989, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,21,0.149625,"(14957, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,22,0.138750,"(14906, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,23,0.146875,"(14964, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,24,0.155292,"(14921, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,25,0.147333,"(14851, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,26,0.142084,"(14890, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,27,0.124834,"(14958, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,28,0.129916,"(14937, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,29,0.130959,"(14921, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,30,0.121292,"(14889, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,31,0.132292,"(14905, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,32,0.119459,"(14936, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,33,0.122750,"(14876, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,34,0.115042,"(14873, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,35,0.118333,"(14947, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,36,0.117250,"(14874, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,37,0.139750,"(14941, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,38,0.117709,"(14938, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,39,0.116708,"(14917, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,40,0.123500,"(14861, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,41,0.125916,"(14967, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,42,0.115375,"(14987, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
Q1,frio,43,0.118291,"(14881, '2026-09-18 10:00:00', '2026-09-18 10:00:00')"
